answer,business_name,helpful,question
"You can take pictures, you just can’t use the flash.",Absinthe,1,"What's the camera situation?  Can I bring good camera so long as I don't use flash? Can I bring a camera with interchangeable lens (not that i'd be changing lenses during show, just sometimes thats defined as 'professional' even tho I am amateur)"
"Yes, you can take photos without flash",Absinthe,1,"What's the camera situation?  Can I bring good camera so long as I don't use flash? Can I bring a camera with interchangeable lens (not that i'd be changing lenses during show, just sometimes thats defined as 'professional' even tho I am amateur)"
Non-professional photography and videography is permitted during the show without flash or external lighting,Absinthe,1,"What's the camera situation?  Can I bring good camera so long as I don't use flash? Can I bring a camera with interchangeable lens (not that i'd be changing lenses during show, just sometimes thats defined as 'professional' even tho I am amateur)"
They make an announcement not to film either but I have seen people filming: ) It's a great show.,Absinthe,0,"What's the camera situation?  Can I bring good camera so long as I don't use flash? Can I bring a camera with interchangeable lens (not that i'd be changing lenses during show, just sometimes thats defined as 'professional' even tho I am amateur)"
"Yes, u can take pictures. Flash cameras are absolutely forbidden.  Some of the acts are very dangerous. If they were blinded by the flash could be harmful to them and the audience.  The audience are just feet away from the acts. They tell you several times during the show not to use.",Absinthe,0,"What's the camera situation?  Can I bring good camera so long as I don't use flash? Can I bring a camera with interchangeable lens (not that i'd be changing lenses during show, just sometimes thats defined as 'professional' even tho I am amateur)"
The wifi is great in the room and gets a bit tough to use in some areas of the casino. Cell service is nearly non-existent in some areas as well. You should be just fine! Wifi is included as part of the resort fees for up to two devices per room and you have to login daily for continued access.,The LINQ Hotel & Casino - Temporarily Closed,9,How is the wifi at the linq? Going out there for wsop and need good internet for playing poker online
"Yes, wifi in the rooms are great. However service throughout the hotel is DEAD!",The LINQ Hotel & Casino - Temporarily Closed,5,How is the wifi at the linq? Going out there for wsop and need good internet for playing poker online
"WiFi service was excellent. If your room is NOT by a window to the outside, expect poor service!",The LINQ Hotel & Casino - Temporarily Closed,4,How is the wifi at the linq? Going out there for wsop and need good internet for playing poker online
"If you plan on using your cell provider internet, it is impossible to get a connection in the rooms unless you sign up for the internet usage through the LINQ",The LINQ Hotel & Casino - Temporarily Closed,3,How is the wifi at the linq? Going out there for wsop and need good internet for playing poker online
Wifi was good in the room,The LINQ Hotel & Casino - Temporarily Closed,1,How is the wifi at the linq? Going out there for wsop and need good internet for playing poker online
