answer,business_name,helpful,question
Most good buffets have at least snow crab.,Wicked Spoon,0,Do they still serve snow crab legs?
Yes they still serve them,Wicked Spoon,0,Do they still serve snow crab legs?
"I was there the weekend of August 24th and 25th. I know they had crab legs, but didn't notice if they were snow crab. Was too excited to start eating, lol",Wicked Spoon,0,Do they still serve snow crab legs?
Reservations are king! Walk-Ins are welcome but expect to wait in a long line at peak times and days.,High Roller - Temporarily Closed,5,Reservations or are walk-ins possible?
You can just do walk ins,High Roller - Temporarily Closed,4,Reservations or are walk-ins possible?
"Walk ins are possible.  Less crowded during the day, but if you want to see the city lights go at night.  For night I would consider buying tickets ahead of time.",High Roller - Temporarily Closed,4,Reservations or are walk-ins possible?
"Yes, walk in are available. It's best to have reservations for evening rides.",High Roller - Temporarily Closed,2,Reservations or are walk-ins possible?
We were able to walk up and get tickets with no reservations. Check for you discounted tickets on here or Groupon. We paid about half price with coupon. Very nice ride just wished we'd done the night ride too ! Great view 🤘🏼,High Roller - Temporarily Closed,1,Reservations or are walk-ins possible?
"We do not have a ""happy hour"" as we believe every hour is happy. We do offer a lunch deal with our Po Boy sandwiches where you can get a sandwich, fries and a drink for $13 (regular price for that would be $15)",Hot N Juicy Crawfish,1,When's happy hour?
Tuesday - Saturday 3pm to 6pm,Hot N Juicy Crawfish,0,When's happy hour?
No. I don't think so.,Gangnam Asian BBQ Dining,1,Are the weekend menu prices higher than weekdays?
"No all the prices are the same for the weekend and the week ,,,, they do have a happier hour for on some items",Gangnam Asian BBQ Dining,1,Are the weekend menu prices higher than weekdays?
"No they don't; however, I believe they have lunch special discount applied for weekdays, while there is no lunch special for weekends.",Gangnam Asian BBQ Dining,1,Are the weekend menu prices higher than weekdays?
They are the same price. Thanks,Gangnam Asian BBQ Dining,1,Are the weekend menu prices higher than weekdays?
All prices are the same,Gangnam Asian BBQ Dining,1,Are the weekend menu prices higher than weekdays?
"We went for happy hour on a Saturday at 5:15 recently and they had the whole Happy Hour menu available. For parties larger than 4, I do call in advance bc they get so busy. Enjoy!",Soho Japanese Restaurant,2,Is happy hour still 4-7? Drinks on happy hour also? Party of 8-10 need reservations?
It's 12-7,Soho Japanese Restaurant,2,Is happy hour still 4-7? Drinks on happy hour also? Party of 8-10 need reservations?
Yes it is. There is a special menu with specific food and drinks that are included in happy hour prices. If you are taking a party over 4 I would call ahead at least a few days and reserve your spot because they are always packed. If you do a walk in the best time to go is early like 4,Soho Japanese Restaurant,1,Is happy hour still 4-7? Drinks on happy hour also? Party of 8-10 need reservations?
Happy hour is 12-7 includes food and drinks,Soho Japanese Restaurant,2,Is happy hour still 4-7? Drinks on happy hour also? Party of 8-10 need reservations?
Absolutely make reservations. Drinks not included in happy hour.,Soho Japanese Restaurant,1,Is happy hour still 4-7? Drinks on happy hour also? Party of 8-10 need reservations?
Yes.,Bacchanal Buffet - Temporarily Closed,0,"Hello, does Caesars Palace Bacchanal Buffet still serve King Crab Legs on Sun - Thurs dinner?"
"Let me look at the website.
Yes it would seem so.",Bacchanal Buffet - Temporarily Closed,0,"Hello, does Caesars Palace Bacchanal Buffet still serve King Crab Legs on Sun - Thurs dinner?"
"They did when I was there in November 2019, we went on a Wednesday evening and they were on the bar.",Bacchanal Buffet - Temporarily Closed,0,"Hello, does Caesars Palace Bacchanal Buffet still serve King Crab Legs on Sun - Thurs dinner?"
I think so.,Bacchanal Buffet - Temporarily Closed,0,"Do they serve King crab legs or Oyster on Chrismas Brunch?
I want to plan my holiday trips! Thank you!"
Yes; looks like the same offerings/options.,Studio B Buffet,0,Do they offer the same seafood options at both the Friday Seafood Buffet and the Saturday & Sunday Seafood Brunch Buffet?
Over priced,Bacchanal Buffet - Temporarily Closed,0,What are the prices for kids and seniors for weekend dinner? TIA
20$,Bacchanal Buffet - Temporarily Closed,0,What are the prices for kids and seniors for weekend dinner? TIA
"It depends on the time of day, if it's during peak times there's usually a line out the door from my experience. I would estimate wait to be 20-40 minutes. 

I can tell you that the food and service is definitely worth the wait though!",Mr. Mamas Breakfast and Lunch,2,How long is the wait?
I went with 3 others on a busy morning and waited approximately 15mins.,Mr. Mamas Breakfast and Lunch,2,How long is the wait?
