answer,business_name,helpful,question
Only brunch. But beer and wine all the time.,Studio B Buffet,1,Are the mimosas and bloody Mary's only offered during brunch? Or do they still have it during dinner?
When I was there it was offered to me.  But i went at dinner time.,Studio B Buffet,0,Are the mimosas and bloody Mary's only offered during brunch? Or do they still have it during dinner?
"Hi Crystal, Thanks for inquiring! Our extensive breakfast menu is served daily from 7am until 11am. A smaller selection of brunch items is served from 11am-3pm on Saturdays and Sundays. Please visit monamigabi.com for the full menus.",Mon Ami Gabi,0,What time is brunch served?
"Breakfast is served until 11 and then it's the lunch menu, which doesn't have brunch items. But I've seen some people arrive after 11 and request the breakfast menu without issue.",Mon Ami Gabi,0,What time is brunch served?
"We do not take reservations, we are on a first come, first serve basis. However you can make reservations through our group sales department for parties of 14 or more. Thank you",Bacchanal Buffet - Temporarily Closed,0,Do you take reservation for 20+?
"Hi Becky,

We are open for Brunch on Saturday and Sunday from 10am-4pm. Dinner service on Saturday and Sunday 4pm - 11pm. 

We are open for dinner Monday - Friday at 5pm until 11pm.

Please reach out to me directly or call the restaurant at 702-791-1800. we would be happy to make reservations for you.

Jason Bartucci
General Manager",LAVO Italian Restaurant & Lounge,1,What days do they offer a brunch menu?
I believe brunch is served only on Saturdays and Sundays,LAVO Italian Restaurant & Lounge,0,What days do they offer a brunch menu?
Yes,Soho Japanese Restaurant,1,Does Soho offer vegan options?
Yes,Soho Japanese Restaurant,1,Does Soho offer vegan options?
"I went a few days after New Years so it may have been holiday rush still. But my husband and I waited a shocking 2 hours! We checked in about 230 pm. There is no virtual que that I am aware of, though that would be a great idea!",Bacchanal Buffet - Temporarily Closed,0,"I plan to come this Saturday for lunch maybe around 1:30pm, for a Party of two.  Any idea what kind of wait time I should expect?  And is there a virtual que so I can gamble, etc while I wait?"
12-7 Monday through Friday!,Soho Japanese Restaurant,0,Happy hour from?
Love there happy hour,Soho Japanese Restaurant,0,Happy hour from?
5 pm - 7 pm Monday - Saturday,Soho Japanese Restaurant,0,Happy hour from?
12-7,Soho Japanese Restaurant,0,Happy hour from?
12 - 7,Soho Japanese Restaurant,0,Happy hour from?
"No, it's open to all hotel guests.",Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,Is the pool adult only?
Nope!,Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,Is the pool adult only?
"No, all ages unless otherwise posted for a special event.",Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,Is the pool adult only?
"No, its for everyone",Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,Is the pool adult only?
"No, it’s all ages and depending on the time of year it can be filled with little ones...",Bally's Las Vegas Hotel & Casino - Temporarily Closed,1,Is the pool adult only?
Yes but the seating can be kind of cramped,Le Thai,1,Do they allowed kids or baby to go eat there too?
"I agree with Rhonda, if you get there during the day, maybe it won't be as bad.  food is good space is small.  it is Vegas",Le Thai,0,Do they allowed kids or baby to go eat there too?
Sure sure.,Le Thai,0,Do they allowed kids or baby to go eat there too?
Yes they are baby/kid friendly. I went with my 3 year old and they provided a high chair and seating in an area where the high chair wouldn’t be too much in the way. They placed my stroller against a back wall and were very kind about the fact that I had a toddler with me.,Le Thai,0,Do they allowed kids or baby to go eat there too?
"Yes, they do. They provide a high chair too, if need be.",Le Thai,0,Do they allowed kids or baby to go eat there too?
"It's about $20-30 before 3 pm, Mon - Thur. 
$39.99 for dinner and Fri - Sun 
I don't know if they have a kid price",Studio B Buffet,1,Hi. I was wondering how much per person is the buffet?? Party of 15people. 13 adults and 2kids. I tried to look for email or anyone i could contact on the website but found none.
"These are the there recent  prices:  child less tha 4yo free and 9 yrs and older is regular price.
Breakfast Sunday  $24.99 reg   child  $17.99 Lunch Mon -Thurs $16.99 reg  child 11.99
Dinner Mon-Thurs  $24.99 reg   child 17.99 Prime Rib Brunch Friday  $24.99 reg child !7.99         
Seafood Buffet Fri Sat and Sunday  $41.99 reg  child  29.99  
**FYI I eat here a lot :)",Studio B Buffet,1,Hi. I was wondering how much per person is the buffet?? Party of 15people. 13 adults and 2kids. I tried to look for email or anyone i could contact on the website but found none.
The prices and hours are on themresort.com website. Lunch $16.99. Dinner $24.99. Prime Rib Brunch $24.99. Seafood Brunch $41.99. Children 9 years and older pay full price.,Studio B Buffet,0,Hi. I was wondering how much per person is the buffet?? Party of 15people. 13 adults and 2kids. I tried to look for email or anyone i could contact on the website but found none.
"For huge number 

They charge you 20% on top your buffet bill 

So 13 x amount of the pricd buffet (seafood or regular)
2 x amount of kids price",Studio B Buffet,0,Hi. I was wondering how much per person is the buffet?? Party of 15people. 13 adults and 2kids. I tried to look for email or anyone i could contact on the website but found none.
"Mon-Thur is $24.99
Fri-Sun $39.99 seafood 
They have the best prime rib in town all week long",Studio B Buffet,0,Hi. I was wondering how much per person is the buffet?? Party of 15people. 13 adults and 2kids. I tried to look for email or anyone i could contact on the website but found none.
"Yes. I've gone to The Buffet numerous times and never left disappointed. The key is, when you arrive you should tell them you're vegan and they will have the chef walk you around the entire buffet and let you know what's vegan or what can be made vegan (upon your request). There are so many options and they taste good too. You won't be disappointed.",The Buffet At Wynn,48,Are there a lot of vegan options?
Yes they do have a lot of vegan options,The Buffet At Wynn,11,Are there a lot of vegan options?
Steve Wynn js a vegan so all his resturants have vegan options,The Buffet At Wynn,11,Are there a lot of vegan options?
There are so many vegan options. I've eaten at the buffet twice and both times there was plenty. They have vegan cheese too if you want it on your pizza or pasta.,The Buffet At Wynn,8,Are there a lot of vegan options?
"At least on the weekday lunch that I went to, no. Or if there are, they are not labeled as such. I think I saw one salad option plus one other item on total.",The Buffet At Wynn,7,Are there a lot of vegan options?
"Hi Gabby, we are sorry we do not have Mimosas.",Mr. Mamas Breakfast and Lunch,3,Do they have mimosas here?
"No. I see no alcohol on their menu.
BEVERAGES
Coffee*
Hot Tea*
Fresh Brewed Iced Tea*
Fountain Drinks*
Milk…………………………………..……SM / LG
Chocolate Milk ……………………..….SM / LG
Hot Chocolate
Juice…………………..……….SM / LG
http://www.mrmamaslv.com/our-menu/",Mr. Mamas Breakfast and Lunch,3,Do they have mimosas here?
"As of the last time I was there, there weren't any mimosas on the menu.",Mr. Mamas Breakfast and Lunch,1,Do they have mimosas here?
"Their weekend party bunch, if that's what you're referring to, is only available during the fall/winter seasons and therefore I'm pretty sure it's not available right now. I would definitely call and ask the restaurant directly to confirm what they have available and what they recommend; they should be happy to help.",LAVO Italian Restaurant & Lounge,1,Is it recommended to make a reservation for brunch on Sundays? Is it possible to just walk in? We are arriving that day and not completely sure what time we will be able to get there.
"Like most places in Las Vegas, if the option to make a reservation exists or if the establishment suggests it, you should make a reservation. If you are flying in, allow a couple or three hours for local travel and relaxation before your reservation time. For many popular places, reservations may be full many weeks before your actual travel time. 
For LAVO I would definitely make a reservation. You will be glad you did!",LAVO Italian Restaurant & Lounge,0,Is it recommended to make a reservation for brunch on Sundays? Is it possible to just walk in? We are arriving that day and not completely sure what time we will be able to get there.
"Sunday I would call them first, not only since it's weekend but it's also the big going home day, most of the guests leaving want to leave on a full stomach.
Enjoy your trip and all the absolute great restaurants around you, just remember that there are a couple of bad ones here and there so read up before going. ;-)",LAVO Italian Restaurant & Lounge,0,Is it recommended to make a reservation for brunch on Sundays? Is it possible to just walk in? We are arriving that day and not completely sure what time we will be able to get there.
It's always good idea to make reservation. Especially in a crowd place like Vegas.  Enjoy the food,LAVO Italian Restaurant & Lounge,0,Is it recommended to make a reservation for brunch on Sundays? Is it possible to just walk in? We are arriving that day and not completely sure what time we will be able to get there.
Reservations are always recommended but we do also accept walk-ins.,LAVO Italian Restaurant & Lounge,0,Is it recommended to make a reservation for brunch on Sundays? Is it possible to just walk in? We are arriving that day and not completely sure what time we will be able to get there.
$39.99 during the weekday. $54.99 weekend. No reservations needed.,Bacchanal Buffet - Temporarily Closed,2,How much is the brunch buffet? Do I need reservations?
"40 bucks per person plus tax plus tip plus alcohol upto 3 pm Mon thru Thurs.

I believe 60 bucks Fri thru Sun.

Crab legs are served at 3:00 pm and onwards. 

The dinner price is higher.

You got in one of four different lines based on levels - VIP etc.",Bacchanal Buffet - Temporarily Closed,2,How much is the brunch buffet? Do I need reservations?
"The weekday brunch is $39.99 + Tax. M-F 7:30am - 3pm. 

The weekend brunch is $54.99 + Tax. Sat - Sun8am - 3pm. 

Bacchanal Buffet is offering VIP reservations package for $98 per person included reservation and all you can drink package. 

Wait time 15 - 45 mins for a table is normal. Some time up to 2 hours without VIP reservation package.",Bacchanal Buffet - Temporarily Closed,2,How much is the brunch buffet? Do I need reservations?
"It varies, different prices - weekday $40 , weekend $50- no reservations unless its a big party of 20+",Bacchanal Buffet - Temporarily Closed,1,How much is the brunch buffet? Do I need reservations?
"Reservations not necessary, weekday prices $55 weekends $65",Bacchanal Buffet - Temporarily Closed,1,How much is the brunch buffet? Do I need reservations?
"Correct, bottomless mimosas end daily at 2pm",HEXX kitchen + bar,0,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?
Bottomless mimosas are available daily from 6-2 with a two hour limit imposed upon guests.  Brunch is available until 4pm.,HEXX kitchen + bar,0,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?
"We continue to fill and refresh the food until at least 10:30, later if business levels demand it. If you are seated around 9pm, you'll have plenty of time to eat. Thank you.",Bacchanal Buffet - Temporarily Closed,2,If the buffet closes at 10pm would it be enough time to eat if I went at 9pm?  Does the food stop being served at 10?
Yes! You can take a cooler to your room.,The LINQ Hotel & Casino - Temporarily Closed,0,Can I take a cooler into the LINQ?
"Yes, you can bring in anything you want. They have self parking and you can wheel it in.  It's not the fanciest or highest security place IMO.",The LINQ Hotel & Casino - Temporarily Closed,0,Can I take a cooler into the LINQ?
Of course!,The LINQ Hotel & Casino - Temporarily Closed,0,Can I take a cooler into the LINQ?
Yep. Best way to save a few bucks.,The LINQ Hotel & Casino - Temporarily Closed,0,Can I take a cooler into the LINQ?
Yes they do not overly 'police'...,The LINQ Hotel & Casino - Temporarily Closed,0,Can I take a cooler into the LINQ?
"You won't able to use promotional value, but you will have a credit towards the amount you paid.
E.g. You paid $20 for $30 worth of food credit; If you go on November, you will able to use your $20, but not $30 since this promo value expired on Oct 1st.",Bacchanal Buffet - Temporarily Closed,2,"In Groupon There is a certain offer that says in the fine print the promotional value expires oct 1 but the amount paid doesn't not expire, my question is if I buy it will I be able to use it when I go in November?"
"HJ K is absolutely correct. You won't be able to get the deal that is advertised on the groupon, but you will always be able to use it for the amount you paid.",Bacchanal Buffet - Temporarily Closed,1,"In Groupon There is a certain offer that says in the fine print the promotional value expires oct 1 but the amount paid doesn't not expire, my question is if I buy it will I be able to use it when I go in November?"
"Groupon always has deals, check them out!",Bacchanal Buffet - Temporarily Closed,2,What's a price? Is it a way to get discount?
"Price varies.  Apply for a Total Reward VISA and after the first purchase, there will be a discount voucher that an be pickup from the Total Reward desk at Cesar.",Bacchanal Buffet - Temporarily Closed,1,What's a price? Is it a way to get discount?
"As of April. 2018:
Brunch M-F $39.99; Sat-Sun $49.99
Dinner M-Th $54.99; Fri-Sun $59.99",Bacchanal Buffet - Temporarily Closed,1,What's a price? Is it a way to get discount?
There is a Groupon usually and also I believe travelzoo.com also had a coupon,Bacchanal Buffet - Temporarily Closed,0,What's a price? Is it a way to get discount?
"If apply for total rewards, I believe younger $1 off ...woohoo! (sarcastically). If there is a Groupon offering, read the fine print and any disclosure of Sunday brunch. Keep in mind on brunch that alcohol Is an up charge of approx $15 pp.  If you're a drinker then it's worth it.
If your already a total rewards member,/",Bacchanal Buffet - Temporarily Closed,0,What's a price? Is it a way to get discount?
Yep. Every day,Studio B Buffet,0,"Does Studio B only serve lunch on the weekdays? Also, what kind of foods do you serve during lunch? I've been here several times before but only at dinner hours and it was super yummy, going here for my birthday with a big group next Monday."
yes,Studio B Buffet,0,"Does Studio B only serve lunch on the weekdays? Also, what kind of foods do you serve during lunch? I've been here several times before but only at dinner hours and it was super yummy, going here for my birthday with a big group next Monday."
